2025-07-01 09:59:43 install gcc:arm64 <none> 4:12.2.0-3
2025-07-01 09:59:43 status half-installed gcc:arm64 4:12.2.0-3
2025-07-01 09:59:43 status unpacked gcc:arm64 4:12.2.0-3
2025-07-01 09:59:43 install gnupg-l10n:all <none> 2.2.40-1.1
2025-07-01 09:59:43 status half-installed gnupg-l10n:all 2.2.40-1.1
2025-07-01 09:59:43 status unpacked gnupg-l10n:all 2.2.40-1.1
2025-07-01 09:59:43 install gnupg-utils:arm64 <none> 2.2.40-1.1
2025-07-01 09:59:43 status half-installed gnupg-utils:arm64 2.2.40-1.1
2025-07-01 09:59:43 status unpacked gnupg-utils:arm64 2.2.40-1.1
2025-07-01 09:59:43 install libsqlite3-0:arm64 <none> 3.40.1-2+deb12u1
2025-07-01 09:59:43 status half-installed libsqlite3-0:arm64 3.40.1-2+deb12u1
2025-07-01 09:59:43 status unpacked libsqlite3-0:arm64 3.40.1-2+deb12u1
2025-07-01 09:59:43 install gpg:arm64 <none> 2.2.40-1.1
2025-07-01 09:59:43 status half-installed gpg:arm64 2.2.40-1.1
2025-07-01 09:59:43 status unpacked gpg:arm64 2.2.40-1.1
2025-07-01 09:59:43 install libncursesw6:arm64 <none> 6.4-4
2025-07-01 09:59:43 status half-installed libncursesw6:arm64 6.4-4
2025-07-01 09:59:43 status unpacked libncursesw6:arm64 6.4-4
2025-07-01 09:59:43 install pinentry-curses:arm64 <none> 1.2.1-1
2025-07-01 09:59:43 status half-installed pinentry-curses:arm64 1.2.1-1
2025-07-01 09:59:43 status unpacked pinentry-curses:arm64 1.2.1-1
2025-07-01 09:59:43 install gpg-agent:arm64 <none> 2.2.40-1.1
2025-07-01 09:59:43 status half-installed gpg-agent:arm64 2.2.40-1.1
2025-07-01 09:59:43 status unpacked gpg-agent:arm64 2.2.40-1.1
2025-07-01 09:59:43 install gpg-wks-client:arm64 <none> 2.2.40-1.1
2025-07-01 09:59:43 status half-installed gpg-wks-client:arm64 2.2.40-1.1
2025-07-01 09:59:43 status unpacked gpg-wks-client:arm64 2.2.40-1.1
2025-07-01 09:59:43 install gpg-wks-server:arm64 <none> 2.2.40-1.1
2025-07-01 09:59:43 status half-installed gpg-wks-server:arm64 2.2.40-1.1
2025-07-01 09:59:43 status unpacked gpg-wks-server:arm64 2.2.40-1.1
